strain,strain_rate
0.08061177649238803,1
0.0806896137692757,1
0.08075303225636253,1
0.0808423878441008,1
0.08092308925469,1
0.08098649293731225,1
0.08105853769731203,1
0.08109023574745237,1
0.08116515441750796,1
0.08123718630749757,1
0.08133226045820398,1
0.08141004167695978,1
0.08145613139636786,1
0.08156846618873148,1
0.08166350884999762,1
0.08174414402483246,1
0.08178733876544736,1
0.08188523993717241,1
0.08197161536514438,1
0.0820407103362094,1
0.08211555783446674,1
0.08219615656795887,1
0.08227387062344853,1
0.08234294471407225,1
0.08241776959510685,1
0.08248395616932827,1
0.0825731572300169,1
0.08265371909149984,1
0.08271413622869529,1
0.0827946867339056,1
0.08286947782229466,1
0.08294426331739514,1
0.08302479528863124,1
0.0830938175310761,1
0.08316571063468936,1
0.0832433493816389,1
0.0833238572714556,1
0.08340148374154578,1
0.08347047998990219,1
0.08354234602015437,1
0.08362570414539207,1
0.08370043310922357,1
0.08376078704194721,1
0.08384125328640112,1
0.0839188396048111,1
0.08399354666696193,1
0.08407686719101015,1
0.08414007123379146,1
0.08421188916101344,1
0.08428944672959374,1
0.08436412611093853,1
0.08443592794938358,1
0.08451633988830237,1
0.08458238771556818,1
0.08466853050015825,1
0.08474892373798179,1
0.0848149562058833,1
0.08488672568235571,1
0.08495849000834,1
0.0850359896962274,1
0.08512209341682236,1
0.08518810124881904,1
0.0852627135518485,1
0.08534879775372896,1
0.08541765978007851,1
0.0854922549578218,1
0.08556397584311791,1
0.08562708596743697,1
0.0857217436866296,1
0.08579344811526918,1
0.0858680152673261,1
0.08593970920878853,1
0.08601426545577633,1
0.08609741778946592,1
0.08617482926446547,1
0.0862293004141212,1
0.08630383507420601,1
0.08638696333399254,1
0.08645862008100746,1
0.08654746731684201,1
0.0866076496693885,1
0.08667642506616352,1
0.08676238766102604,1
0.08683401751236755,1
0.08690564223324077,1
0.08697726182438074,1
0.08704601180650422,1
0.08713194263796654,1
0.08721213808577223,1
0.08727514428331183,1
0.08734960103542819,1
0.08742405224414913,1
0.08750422427045416,1
0.08758152692326215,1
0.08764164707770312,1
0.08772180166158633,1
0.08779336282565932,1
0.08787064313138424,1
0.08795077936302086,1
0.08801660074955797,1
0.08809100231774844,1
0.08815681447556681,1
0.08824837201238968,1
0.08831989550574196,1
0.08839427451258768,1
0.08846006671509116,1
0.08854587612672007,1
0.08862309830210725,1
0.08869173522994514,1
0.08877180569199451,1
0.08884043241412329,1
0.08891763184746074,1
0.08900054311958147,1
0.08906057802560911,1
0.08913776046635642,1
